
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. X =           89,672                                                                                
     Coord. Y =          110,592                                                                                
     Coord. Z =            1,373                                                                                

Point-2[1,1](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           -0,004                                                                                
     Coord. Z =           -0,001                                                                                

Point-2[1,2](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =            9,996                                                                                
     Coord. Z =           -0,010                                                                                

Point-2[1,3](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           19,996                                                                                
     Coord. Z =           -0,018                                                                                

Point-2[1,4](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           29,996                                                                                
     Coord. Z =           -0,023                                                                                

Point-2[1,5](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           39,996                                                                                
     Coord. Z =           -0,026                                                                                

Point-2[1,6](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           49,996                                                                                
     Coord. Z =           -0,028                                                                                

Point-2[1,7](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           59,996                                                                                
     Coord. Z =           -0,028                                                                                

Point-2[1,8](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           69,996                                                                                
     Coord. Z =           -0,025                                                                                

Point-3(De 1 pt) 
     Coord. X =           10,298                                                                                
     Coord. Y =           -9,762                                                                                
     Coord. Z =           -0,010                                                                                

Point-4[1,1](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =            0,006                                                                                
     Coord. Z =            0,001                                                                                

Point-4[1,2](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           10,006                                                                                
     Coord. Z =           -0,012                                                                                

Point-4[1,3](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           20,006                                                                                
     Coord. Z =           -0,023                                                                                

Point-4[1,4](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           30,006                                                                                
     Coord. Z =           -0,030                                                                                

Point-4[1,5](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           40,006                                                                                
     Coord. Z =           -0,036                                                                                

Point-4[1,6](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           50,006                                                                                
     Coord. Z =           -0,041                                                                                

Point-4[1,7](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           60,006                                                                                
     Coord. Z =           -0,043                                                                                

Point-4[1,8](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           70,006                                                                                
     Coord. Z =           -0,041                                                                                

Point-4[1,9](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           80,006                                                                                
     Coord. Z =           -0,037                                                                                

Point-4[1,10](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           90,006                                                                                
     Coord. Z =           -0,028                                                                                

Point-4[2,1](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =            0,006                                                                                
     Coord. Z =           -0,016                                                                                

Point-4[2,2](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           10,006                                                                                
     Coord. Z =           -0,029                                                                                

