
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
O(De 1 pt) 
     Coord. X =            6,108                                                                                
     Coord. Y =           -0,189                                                                                
     Coord. Z =           10,780                                                                                

P[1,1](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           -0,002                                                                                
     Coord. Z =            0,000                                                                                

P[1,2](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           24,996                                                                                
     Coord. Z =            0,018                                                                                

P[1,3](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           49,996                                                                                
     Coord. Z =           -0,002                                                                                

P[1,4](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           74,996                                                                                
     Coord. Z =           -0,013                                                                                

P[1,5](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           99,996                                                                                
     Coord. Z =           -0,029                                                                                

P[1,6](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          124,996                                                                                
     Coord. Z =           -0,031                                                                                

P[1,7](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          149,996                                                                                
     Coord. Z =           -0,028                                                                                

P[1,8](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          174,996                                                                                
     Coord. Z =           -0,034                                                                                

P[1,9](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          199,996                                                                                
     Coord. Z =           -0,045                                                                                

P[2,1](De 1 pt) 
     Coord. X =           24,998                                                                                
     Coord. Y =           -0,002                                                                                
     Coord. Z =           -0,003                                                                                

P[2,2](De 1 pt) 
     Coord. X =           24,998                                                                                
     Coord. Y =           24,996                                                                                
     Coord. Z =            0,011                                                                                

P[2,3](De 1 pt) 
     Coord. X =           24,998                                                                                
     Coord. Y =           49,996                                                                                
     Coord. Z =           -0,004                                                                                

P[2,4](De 1 pt) 
     Coord. X =           24,998                                                                                
     Coord. Y =           74,996                                                                                
     Coord. Z =           -0,039                                                                                

P[2,5](De 1 pt) 
     Coord. X =           24,998                                                                                
     Coord. Y =           99,996                                                                                
