
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. X =           20,154                                                                                
     Coord. Y =          124,239                                                                                
     Coord. Z =           11,365                                                                                

Point-2(De 1 pt) 
     Coord. X =           22,166                                                                                
     Coord. Y =          124,239                                                                                
     Coord. Z =           11,365                                                                                

PointDeSymétrie-1(De 0 pt) 
     Coord. X =           21,160                                                                                
     Coord. Y =          124,239                                                                                
     Coord. Z =           11,365                                                                                

PointDeSymétrie-2(De 0 pt) 
     Coord. X =           21,160                                                                                
     Coord. Y =          124,239                                                                                
     Coord. Z =           11,365                                                                                

Distance-1 entre Point-1 et Point-2
           SC =            2,013                                                                                

Point-4(De 1 pt) 
     Coord. X =           18,434                                                                                
     Coord. Y =          122,910                                                                                
     Coord. Z =           11,258                                                                                

Point-5[1,1](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =            0,001                                                                                
     Coord. Z =           -0,001                                                                                

Point-5[1,2](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           10,001                                                                                
     Coord. Z =            0,241                                                                                

Point-5[1,3](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           20,001                                                                                
     Coord. Z =            0,376                                                                                

Point-5[1,4](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           30,001                                                                                
     Coord. Z =            0,462                                                                                

Point-5[1,5](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           40,001                                                                                
     Coord. Z =            0,541                                                                                

Point-5[1,6](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           50,001                                                                                
     Coord. Z =            0,550                                                                                

Point-5[1,7](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           60,001                                                                                
     Coord. Z =            0,536                                                                                

Point-5[1,8](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           70,001                                                                                
     Coord. Z =            0,529                                                                                

Point-5[1,9](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           80,001                                                                                
     Coord. Z =            0,610                                                                                

Point-5[1,10](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           90,001                                                                                
     Coord. Z =            0,729                                                                                

Point-5[1,11](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =          100,001                                                                                
     Coord. Z =            0,797                                                                                

Point-5[1,12](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =          110,001                                                                                
     Coord. Z =            0,892                                                                                

Point-5[1,13](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =          120,001                                                                                
     Coord. Z =            0,879                                                                                

Point-5[2,1](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =            0,001                                                                                
     Coord. Z =            0,071                                                                                

Point-5[2,2](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           10,001                                                                                
     Coord. Z =            0,365                                                                                

Point-5[2,3](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           20,001                                                                                
     Coord. Z =            0,502                                                                                

Point-5[2,4](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           30,001                                                                                
     Coord. Z =            0,541                                                                                

Point-5[2,5](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           40,001                                                                                
     Coord. Z =            0,574                                                                                

Point-5[2,6](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           50,001                                                                                
     Coord. Z =            0,576                                                                                

Point-5[2,7](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           60,001                                                                                
     Coord. Z =            0,550                                                                                

Point-5[2,8](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           70,001                                                                                
     Coord. Z =            0,618                                                                                

Point-5[2,9](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           80,001                                                                                
     Coord. Z =            0,599                                                                                

Point-5[2,10](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =           90,001                                                                                
     Coord. Z =            0,774                                                                                

Point-5[2,11](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =          100,001                                                                                
     Coord. Z =            0,790                                                                                

Point-5[2,12](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =          110,001                                                                                
     Coord. Z =            0,860                                                                                

Point-5[2,13](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =          120,001                                                                                
     Coord. Z =            0,888                                                                                

Point-5[3,1](De 1 pt) 
     Coord. X =           20,001                                                                                
     Coord. Y =            0,001                                                                                
     Coord. Z =           -0,019                                                                                

Point-5[3,2](De 1 pt) 
     Coord. X =           20,001                                                                                
     Coord. Y =           10,001                                                                                
     Coord. Z =            0,254                                                                                

Point-5[3,3](De 1 pt) 
     Coord. X =           20,001                                                                                
     Coord. Y =           20,001                                                                                
