
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. X =           -5,510                                                                                
     Coord. Y =           93,521                                                                                
     Coord. Z =           10,002                                                                                

Point-2[1,1](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =            0,001                                                                                
     Coord. Z =            0,000                                                                                

Point-2[1,2](De 0 pt) 
         ****  
         ****  
         ****  

Point-2[1,3](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           20,000                                                                                
     Coord. Z =            0,290                                                                                

Point-2[1,4](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           30,000                                                                                
     Coord. Z =            0,422                                                                                

Point-2[1,5](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           40,000                                                                                
     Coord. Z =            0,511                                                                                

Point-2[1,6](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           50,000                                                                                
     Coord. Z =            0,593                                                                                

Point-2[1,7](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           60,000                                                                                
     Coord. Z =            0,634                                                                                

Point-2[1,8](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           70,000                                                                                
     Coord. Z =            0,674                                                                                

Point-2[1,9](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           80,000                                                                                
     Coord. Z =            0,711                                                                                

Point-2[1,10](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =           90,000                                                                                
     Coord. Z =            0,732                                                                                

Point-2[1,11](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =          100,000                                                                                
     Coord. Z =            0,777                                                                                

Point-2[1,12](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =          110,000                                                                                
     Coord. Z =            0,853                                                                                

Point-2[1,13](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =          120,000                                                                                
     Coord. Z =            0,938                                                                                

Point-2[1,14](De 0 pt) 
         ****  
         ****  
         ****  

Point-2[1,15](De 0 pt) 
         ****  
         ****  
         ****  

Point-2[1,16](De 0 pt) 
         ****  
         ****  
         ****  

Point-2[2,1](De 1 pt) 
     Coord. X =           10,001                                                                                
     Coord. Y =            0,001                                                                                
     Coord. Z =            0,216                                                                                

Point-2[2,2](De 1 pt) 
     Coord. X =           10,000                                                                                
     Coord. Y =           10,000                                                                                
     Coord. Z =            0,545                                                                                

