
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. X =            1,503                                                                                
     Coord. Y =          118,543                                                                                
     Coord. Z =           10,869                                                                                

Point-3[1,1](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =            0,002                                                                                
     Coord. Z =            0,000                                                                                

Point-3[1,2](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =            0,012                                                                                

Point-3[1,3](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =            0,025                                                                                

Point-3[1,4](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =            0,039                                                                                

Point-3[1,5](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =            0,052                                                                                

Point-3[1,6](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =            0,063                                                                                

Point-3[1,7](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =            0,071                                                                                

Point-3[1,8](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =            0,081                                                                                

Point-3[1,9](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =            0,087                                                                                

Point-3[1,10](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =            0,083                                                                                

Point-3[1,11](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =            0,078                                                                                

Point-3[1,12](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =            0,087                                                                                

Point-3[1,13](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =            0,102                                                                                

Point-3[1,14](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =            0,108                                                                                

Point-3[1,15](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,104                                                                                

Point-3[1,16](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,104                                                                                

Point-3[2,1](De 1 pt) 
     Coord. X =           10,000                                                                                
     Coord. Y =            0,002                                                                                
     Coord. Z =           -0,007                                                                                

Point-3[2,2](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =            0,003                                                                                

Point-3[2,3](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =            0,014                                                                                

Point-3[2,4](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =            0,029                                                                                

Point-3[2,5](De 1 pt) 
     Coord. X =            9,998                                                                                
