
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. X =           98,476                                                                                
     Coord. Y =          267,087                                                                                
     Coord. Z =           10,783                                                                                

Point-2(De 1 pt) 
     Coord. X =           -2,652                                                                                
     Coord. Y =          122,741                                                                                
     Coord. Z =           10,746                                                                                

Point-3[1,1](De 1 pt) 
     Coord. X =            0,004                                                                                
     Coord. Y =           -0,002                                                                                
     Coord. Z =            0,000                                                                                

Point-3[1,2](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =            9,998                                                                                
     Coord. Z =            0,011                                                                                

Point-3[1,3](De 1 pt) 
     Coord. X =            0,004                                                                                
     Coord. Y =           19,998                                                                                
     Coord. Z =            0,031                                                                                

Point-3[1,4](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           29,998                                                                                
     Coord. Z =            0,046                                                                                

Point-3[1,5](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           39,998                                                                                
     Coord. Z =            0,052                                                                                

Point-3[1,6](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           49,998                                                                                
     Coord. Z =            0,048                                                                                

Point-3[1,7](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           59,998                                                                                
     Coord. Z =            0,037                                                                                

Point-3[1,8](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           69,998                                                                                
     Coord. Z =            0,026                                                                                

Point-3[1,9](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           79,998                                                                                
     Coord. Z =            0,030                                                                                

Point-3[1,10](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           89,998                                                                                
     Coord. Z =            0,038                                                                                

Point-3[1,11](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =           99,998                                                                                
     Coord. Z =            0,038                                                                                

Point-3[1,12](De 1 pt) 
     Coord. X =            0,004                                                                                
     Coord. Y =          109,998                                                                                
     Coord. Z =            0,037                                                                                

Point-3[1,13](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =          119,998                                                                                
     Coord. Z =            0,037                                                                                

Point-3[1,14](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =          129,998                                                                                
     Coord. Z =            0,042                                                                                

Point-3[1,15](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =          139,998                                                                                
     Coord. Z =            0,044                                                                                

Point-3[1,16](De 1 pt) 
     Coord. X =            0,002                                                                                
     Coord. Y =          149,998                                                                                
     Coord. Z =            0,056                                                                                

Point-3[2,1](De 1 pt) 
     Coord. X =           10,004                                                                                
     Coord. Y =           -0,002                                                                                
     Coord. Z =           -0,003                                                                                

Point-3[2,2](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =            9,998                                                                                
     Coord. Z =            0,014                                                                                

Point-3[2,3](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           19,998                                                                                
     Coord. Z =            0,031                                                                                

Point-3[2,4](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           29,998                                                                                
     Coord. Z =            0,038                                                                                

Point-3[2,5](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           39,998                                                                                
     Coord. Z =            0,040                                                                                

Point-3[2,6](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           49,998                                                                                
     Coord. Z =            0,038                                                                                

Point-3[2,7](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           59,998                                                                                
     Coord. Z =            0,038                                                                                

Point-3[2,8](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           69,998                                                                                
     Coord. Z =            0,033                                                                                

Point-3[2,9](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           79,998                                                                                
     Coord. Z =            0,031                                                                                

Point-3[2,10](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           89,998                                                                                
     Coord. Z =            0,032                                                                                

Point-3[2,11](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =           99,998                                                                                
     Coord. Z =            0,035                                                                                

Point-3[2,12](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =          109,998                                                                                
     Coord. Z =            0,035                                                                                

Point-3[2,13](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =          119,998                                                                                
     Coord. Z =            0,037                                                                                

Point-3[2,14](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =          129,998                                                                                
     Coord. Z =            0,039                                                                                

Point-3[2,15](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =          139,998                                                                                
     Coord. Z =            0,041                                                                                

Point-3[2,16](De 1 pt) 
     Coord. X =           10,002                                                                                
     Coord. Y =          149,998                                                                                
     Coord. Z =            0,043                                                                                

Point-3[3,1](De 1 pt) 
     Coord. X =           20,004                                                                                
     Coord. Y =           -0,002                                                                                
     Coord. Z =            0,006                                                                                

Point-3[3,2](De 1 pt) 
     Coord. X =           20,002                                                                                
     Coord. Y =            9,998                                                                                
