
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. X =           59,663                                                                                
     Coord. Y =           74,256                                                                                
     Coord. Z =            1,191                                                                                

Point-2[1,1](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =            0,001                                                                                
     Coord. Z =            0,001                                                                                

Point-2[1,2](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           10,001                                                                                
     Coord. Z =            0,011                                                                                

Point-2[1,3](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           20,001                                                                                
     Coord. Z =            0,025                                                                                

Point-2[1,4](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           30,001                                                                                
     Coord. Z =            0,039                                                                                

Point-2[1,5](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           40,001                                                                                
     Coord. Z =            0,055                                                                                

Point-2[1,6](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           50,001                                                                                
     Coord. Z =            0,069                                                                                

Point-2[1,7](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           60,001                                                                                
     Coord. Z =            0,077                                                                                

Point-2[1,8](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           70,001                                                                                
     Coord. Z =            0,079                                                                                

Point-2[1,9](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           80,001                                                                                
     Coord. Z =            0,080                                                                                

Point-2[1,10](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =           90,001                                                                                
     Coord. Z =            0,078                                                                                

Point-2[1,11](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =          100,001                                                                                
     Coord. Z =            0,071                                                                                

Point-2[1,12](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =          110,001                                                                                
     Coord. Z =            0,059                                                                                

Point-2[1,13](De 1 pt) 
     Coord. X =            0,001                                                                                
     Coord. Y =          120,001                                                                                
     Coord. Z =            0,047                                                                                

