
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. X =           83,673                                                                                
     Coord. Y =           79,440                                                                                
     Coord. Z =            0,581                                                                                

Point-2[1,1](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,000                                                                                

Point-2[1,2](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =           -0,077                                                                                

Point-2[1,3](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,142                                                                                

Point-2[1,4](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,187                                                                                

Point-2[1,5](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,207                                                                                

Point-2[1,6](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,205                                                                                

Point-2[1,7](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,191                                                                                

Point-2[1,8](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,179                                                                                

Point-2[1,9](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,145                                                                                

Point-2[1,10](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,094                                                                                

Point-2[1,11](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,031                                                                                

Point-2[1,12](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =            0,059                                                                                

Point-2[1,13](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =            0,184                                                                                

Point-2[1,14](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =            0,317                                                                                

Point-2[1,15](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,466                                                                                

Point-2[1,16](De 1 pt) 
     Coord. X =            0,000                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,638                                                                                

Point-2[2,1](De 1 pt) 
     Coord. X =           10,000                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,029                                                                                

Point-2[2,2](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =           -0,062                                                                                

Point-2[2,3](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,126                                                                                

Point-2[2,4](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,172                                                                                

Point-2[2,5](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,198                                                                                

Point-2[2,6](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,196                                                                                

Point-2[2,7](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,191                                                                                

Point-2[2,8](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,177                                                                                

Point-2[2,9](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,146                                                                                

Point-2[2,10](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,101                                                                                

Point-2[2,11](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,048                                                                                

Point-2[2,12](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =            0,033                                                                                

Point-2[2,13](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =            0,152                                                                                

Point-2[2,14](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =            0,279                                                                                

Point-2[2,15](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,426                                                                                

Point-2[2,16](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,600                                                                                

Point-2[3,1](De 1 pt) 
     Coord. X =           20,000                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,045                                                                                

Point-2[3,2](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =           -0,059                                                                                

Point-2[3,3](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,117                                                                                

Point-2[3,4](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,162                                                                                

Point-2[3,5](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,192                                                                                

Point-2[3,6](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,199                                                                                

Point-2[3,7](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,196                                                                                

Point-2[3,8](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,182                                                                                

Point-2[3,9](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,149                                                                                

Point-2[3,10](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,107                                                                                

Point-2[3,11](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,055                                                                                

Point-2[3,12](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =            0,018                                                                                

Point-2[3,13](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =            0,122                                                                                

Point-2[3,14](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =            0,248                                                                                

Point-2[3,15](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,397                                                                                

Point-2[3,16](De 1 pt) 
     Coord. X =           20,000                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,571                                                                                

Point-2[4,1](De 1 pt) 
     Coord. X =           30,000                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,075                                                                                

Point-2[4,2](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =           -0,039                                                                                

Point-2[4,3](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,103                                                                                

Point-2[4,4](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,154                                                                                

Point-2[4,5](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,176                                                                                

Point-2[4,6](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,195                                                                                

Point-2[4,7](De 1 pt) 
     Coord. X =           30,000                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,197                                                                                

Point-2[4,8](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,191                                                                                

Point-2[4,9](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,161                                                                                

Point-2[4,10](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,122                                                                                

Point-2[4,11](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,064                                                                                

Point-2[4,12](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =            0,003                                                                                

