
         Elément            Réel       Val. nom.           Ecart       Tol. sup.       Tol. inf.           OK/HT
                                                        (Dév PR)        (Tol PR)                                
Point-1(De 1 pt) 
     Coord. X =           83,493                                                                                
     Coord. Y =           80,079                                                                                
     Coord. Z =            0,738                                                                                

Point-3[1,1](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,002                                                                                

Point-3[1,2](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =           -0,099                                                                                

Point-3[1,3](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,182                                                                                

Point-3[1,4](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,248                                                                                

Point-3[1,5](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,298                                                                                

Point-3[1,6](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,326                                                                                

Point-3[1,7](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,340                                                                                

Point-3[1,8](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,339                                                                                

Point-3[1,9](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,328                                                                                

Point-3[1,10](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,310                                                                                

Point-3[1,11](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,277                                                                                

Point-3[1,12](De 1 pt) 
     Coord. X =           -0,002                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =           -0,222                                                                                

Point-3[1,13](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =           -0,145                                                                                

Point-3[1,14](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =           -0,051                                                                                

Point-3[1,15](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,068                                                                                

Point-3[1,16](De 1 pt) 
     Coord. X =           -0,004                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,211                                                                                

Point-3[2,1](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,071                                                                                

Point-3[2,2](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =           -0,055                                                                                

Point-3[2,3](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,141                                                                                

Point-3[2,4](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,215                                                                                

Point-3[2,5](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,275                                                                                

Point-3[2,6](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,310                                                                                

Point-3[2,7](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,321                                                                                

Point-3[2,8](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,319                                                                                

Point-3[2,9](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,306                                                                                

Point-3[2,10](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,292                                                                                

Point-3[2,11](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,263                                                                                

Point-3[2,12](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =           -0,212                                                                                

Point-3[2,13](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =           -0,137                                                                                

Point-3[2,14](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =           -0,040                                                                                

Point-3[2,15](De 1 pt) 
     Coord. X =            9,996                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,081                                                                                

Point-3[2,16](De 1 pt) 
     Coord. X =            9,998                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,223                                                                                

Point-3[3,1](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,121                                                                                

Point-3[3,2](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =           -0,016                                                                                

Point-3[3,3](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,110                                                                                

Point-3[3,4](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,188                                                                                

Point-3[3,5](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,252                                                                                

Point-3[3,6](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,289                                                                                

Point-3[3,7](De 1 pt) 
     Coord. X =           19,998                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,307                                                                                

Point-3[3,8](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,309                                                                                

Point-3[3,9](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,296                                                                                

Point-3[3,10](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,276                                                                                

Point-3[3,11](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,245                                                                                

Point-3[3,12](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =           -0,190                                                                                

Point-3[3,13](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =           -0,120                                                                                

Point-3[3,14](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =           -0,020                                                                                

Point-3[3,15](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,094                                                                                

Point-3[3,16](De 1 pt) 
     Coord. X =           19,996                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,229                                                                                

Point-3[4,1](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,164                                                                                

Point-3[4,2](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =            0,025                                                                                

Point-3[4,3](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,073                                                                                

Point-3[4,4](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,159                                                                                

Point-3[4,5](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,218                                                                                

Point-3[4,6](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,266                                                                                

Point-3[4,7](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,292                                                                                

Point-3[4,8](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,301                                                                                

Point-3[4,9](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,290                                                                                

Point-3[4,10](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,267                                                                                

Point-3[4,11](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,228                                                                                

Point-3[4,12](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =           -0,180                                                                                

Point-3[4,13](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =           -0,112                                                                                

Point-3[4,14](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =           -0,013                                                                                

Point-3[4,15](De 1 pt) 
     Coord. X =           29,996                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,099                                                                                

Point-3[4,16](De 1 pt) 
     Coord. X =           29,998                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,232                                                                                

Point-3[5,1](De 1 pt) 
     Coord. X =           39,998                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,212                                                                                

Point-3[5,2](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =            0,070                                                                                

Point-3[5,3](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,040                                                                                

Point-3[5,4](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,132                                                                                

Point-3[5,5](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,194                                                                                

Point-3[5,6](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,245                                                                                

Point-3[5,7](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,279                                                                                

Point-3[5,8](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           70,002                                                                                
     Coord. Z =           -0,294                                                                                

Point-3[5,9](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           80,002                                                                                
     Coord. Z =           -0,293                                                                                

Point-3[5,10](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =           90,002                                                                                
     Coord. Z =           -0,269                                                                                

Point-3[5,11](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =          100,002                                                                                
     Coord. Z =           -0,233                                                                                

Point-3[5,12](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =          110,002                                                                                
     Coord. Z =           -0,180                                                                                

Point-3[5,13](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =          120,002                                                                                
     Coord. Z =           -0,113                                                                                

Point-3[5,14](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =          130,002                                                                                
     Coord. Z =           -0,021                                                                                

Point-3[5,15](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =          140,002                                                                                
     Coord. Z =            0,088                                                                                

Point-3[5,16](De 1 pt) 
     Coord. X =           39,996                                                                                
     Coord. Y =          150,002                                                                                
     Coord. Z =            0,213                                                                                

Point-3[6,1](De 1 pt) 
     Coord. X =           49,998                                                                                
     Coord. Y =            0,004                                                                                
     Coord. Z =            0,255                                                                                

Point-3[6,2](De 1 pt) 
     Coord. X =           49,996                                                                                
     Coord. Y =           10,002                                                                                
     Coord. Z =            0,105                                                                                

Point-3[6,3](De 1 pt) 
     Coord. X =           49,996                                                                                
     Coord. Y =           20,002                                                                                
     Coord. Z =           -0,015                                                                                

Point-3[6,4](De 1 pt) 
     Coord. X =           49,996                                                                                
     Coord. Y =           30,002                                                                                
     Coord. Z =           -0,109                                                                                

Point-3[6,5](De 1 pt) 
     Coord. X =           49,996                                                                                
     Coord. Y =           40,002                                                                                
     Coord. Z =           -0,180                                                                                

Point-3[6,6](De 1 pt) 
     Coord. X =           49,996                                                                                
     Coord. Y =           50,002                                                                                
     Coord. Z =           -0,233                                                                                

Point-3[6,7](De 1 pt) 
     Coord. X =           49,996                                                                                
     Coord. Y =           60,002                                                                                
     Coord. Z =           -0,265                                                                                

Point-3[6,8](De 1 pt) 
     Coord. X =           49,996                                                                                
